sample_ID	FIRST	SECOND	THIRD	population	group	set	color	pch
ID1	-0.05566567	0.02050284	0.002583818	pop1	AMAZON	presentstudy	"#347367"	1
ID2	-0.06044204	0.004548068	0.006362428	pop1	AMAZON	presentstudy	"#347367"	1
ID3	-0.05903557	0.001854157	0.009281694	pop1	AMAZON	presentstudy	"#347367"	1
ID4	-0.058381	-0.003252084	0.006501123	pop2	AMAZON	presentstudy	"#347367"	2
ID5	-0.0513326	0.00716005	0.003642099	pop2	AMAZON	presentstudy	"#347367"	2
ID6	-0.06523118	0.02746162	-0.004060671	pop2	AMAZON	presentstudy	"#347367"	2
ID7	-0.05912732	0.01995407	-0.001673212	pop2	AMAZON	presentstudy	"#347367"	2
ID8	-0.04920845	-0.01278885	0.01635701	pop2	AMAZON	presentstudy	"#347367"	2
ID9	-0.06075593	-0.01456263	0.01563121	pop2	AMAZON	presentstudy	"#347367"	2
ID10	-0.05083768	-0.009295975	0.01181961	pop2	AMAZON	presentstudy	"#347367"	2
dataset1	0.003628917	-0.03978156	0.03339056	pop4	ANDES	published	"red"	3
dataset2	0.002527326	-0.05270335	0.03327626	pop4	ANDES	published	"red"	3
dataset3	-0.000354808	-0.07220355	0.03650259	pop4	ANDES	published	"red"	3
dataset4	-0.01927061	-0.06008855	0.02983925	pop3	AMAZON	published	"#347367"	4
dataset5	0.01837689	-0.05056462	0.03350879	pop3	AMAZON	published	"#347367"	4
