sample_ID	population	group	color	pch
ID_1	pop1	group1	brown	1
ID_2	pop1	group1	brown	1
ID_3	pop1	group1	brown	1
ID_4	pop1	group1	brown	1
ID_5	pop1	group1	brown	1
ID_6	pop1	group1	brown	1
ID_7	pop1	group1	brown	1
ID_8	pop2	group1	brown	2
ID_9	pop2	group1	brown	2
ID_10	pop2	group1	brown	2
ID_11	pop2	group1	brown	2
ID_12	pop2	group1	brown	2
ID_13	pop2	group1	brown	2
ID_14	pop2	group1	brown	2
ID_15	pop2	group1	brown	2
ID_16	pop2	group1	brown	2
ID_17	pop2	group1	brown	2
ID_18	pop3	group2	orange	3
ID_19	pop3	group2	orange	3
ID_20	pop3	group2	orange	3
ID_21	pop3	group2	orange	3
ID_22	pop3	group2	orange	3
ID_23	pop4	group2	orange	4
ID_24	pop4	group2	orange	4
ID_25	pop4	group2	orange	4
ID_26	pop4	group2	orange	4
ID_27	pop4	group2	orange	4
ID_28	pop4	group2	orange	4
ID_29	pop4	group2	orange	4
ID_30	pop4	group2	orange	4
ID_31	pop4	group2	orange	4
ID_32	pop4	group2	orange	4
ID_33	pop4	group2	orange	4
ID_34	pop5	group2	orange	5
ID_35	pop5	group2	orange	5
ID_36	pop5	group2	orange	5
ID_37	pop5	group2	orange	5
ID_38	pop5	group2	orange	5
ID_39	pop5	group2	orange	5
ID_40	pop5	group2	orange	5
ID_41	pop5	group2	orange	5
ID_42	pop5	group2	orange	5
ID_43	pop5	group2	orange	5
ID_44	pop5	group2	orange	5
ID_45	pop6	group3	red	9
ID_46	pop6	group3	red	9
ID_47	pop6	group3	red	9
ID_48	pop6	group3	red	9
ID_49	pop6	group3	red	9
ID_50	pop6	group3	red	9
ID_51	pop6	group3	red	9
ID_52	pop7	group3	red	10
ID_53	pop7	group3	red	10
ID_54	pop7	group3	red	10
ID_55	pop7	group3	red	10
ID_56	pop7	group3	red	10
ID_57	pop7	group3	red	10
ID_58	pop7	group3	red	10
ID_59	pop7	group3	red	10
ID_60	pop7	group3	red	10
ID_61	pop7	group3	red	10
ID_62	pop7	group3	red	10
ID_63	pop7	group3	red	10
